Model,Accuracy,Precision,Recall,Macro F1
ML Classifier,0.84515625,0.8476258356802913,0.84515625,0.8727027323541574
Keyword Heuristic,0.27356181150550796,0.3587893074084115,0.27356181150550796,0.228608380988436
